Response,Breakdown type,Breakdown name,Estimate %,LCL %,UCL %,Age Standardised Estimate % [note 9],Age Standardised LCL % [note 9],Age Standardised UCL % [note 9],Unweighted Sample for Response Option,Weighted Sample for Response Option
Do not know,Age-Sex Group,Female: Aged 55 to 64,[low],0,0.1,[low],0,0.1,6,"1,521"
Prefer not to say,Age-Sex Group,Female: Aged 55 to 64,0.1,0,0.1,0.1,0,0.1,7,"1,988"
Yes,Age-Sex Group,Female: Aged 65 to 74,42,41.2,42.8,42,41.2,42.8,"6,656","1,681,834"
No,Age-Sex Group,Female: Aged 65 to 74,57.9,57.1,58.7,57.9,57.1,58.6,"9,180","2,318,994"
Do not know,Age-Sex Group,Female: Aged 65 to 74,0.1,0,0.1,0.1,0,0.1,12,"2,965"
Prefer not to say,Age-Sex Group,Female: Aged 65 to 74,[low],0,0.1,[low],0,0.1,7,"1,716"
Yes,Age-Sex Group,Female: Aged 75 to 84,43.5,42.3,44.6,43.9,42.7,45,"3,008","778,019"
No,Age-Sex Group,Female: Aged 75 to 84,56.4,55.3,57.6,56.1,54.9,57.2,"3,885","1,009,924"
Do not know,Age-Sex Group,Female: Aged 75 to 84,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age-Sex Group,Female: Aged 75 to 84,[low],0,0.1,[low],0,0.1,4,863
Yes,Age-Sex Group,Female: Aged 85 and over,48.7,44.1,53.2,48.7,44.1,53.2,220,"50,545"
No,Age-Sex Group,Female: Aged 85 and over,51.3,46.8,55.9,51.3,46.8,55.9,244,"53,330"
Do not know,Age-Sex Group,Female: Aged 85 and over,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Age-Sex Group,Female: Aged 85 and over,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age-Sex Group,Male: Aged 16 to 24,18,14,22,18.4,14.4,22.4,69,"496,335"
No,Age-Sex Group,Male: Aged 16 to 24,81.8,77.8,85.8,81,77,85,292,"2,256,825"
Do not know,Age-Sex Group,Male: Aged 16 to 24,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age-Sex Group,Male: Aged 16 to 24,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age-Sex Group,Male: Aged 25 to 34,28,24,32,26.5,22.6,30.4,140,"1,013,670"
No,Age-Sex Group,Male: Aged 25 to 34,72,68,76,73.5,69.6,77.4,352,"2,606,767"
Do not know,Age-Sex Group,Male: Aged 25 to 34,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Age-Sex Group,Male: Aged 25 to 34,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Age-Sex Group,Male: Aged 35 to 44,29.9,27.8,31.9,30.2,28.2,32.2,583,"965,041"
No,Age-Sex Group,Male: Aged 35 to 44,69.9,67.9,72,69.6,67.6,71.6,"1,399","2,260,415"
Do not know,Age-Sex Group,Male: Aged 35 to 44,0.2,0,0.3,0.2,0,0.3,3,"5,056"
Prefer not to say,Age-Sex Group,Male: Aged 35 to 44,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Male: Aged 45 to 54,31.2,29.8,32.5,31.5,30.1,32.8,"1,448","1,077,405"
No,Age-Sex Group,Male: Aged 45 to 54,68.7,67.4,70.1,68.4,67.1,69.7,"3,131","2,375,381"
Do not know,Age-Sex Group,Male: Aged 45 to 54,0.1,0,0.2,0.1,0,0.2,4,"3,387"
Prefer not to say,Age-Sex Group,Male: Aged 45 to 54,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Male: Aged 55 to 64,34.5,33.6,35.5,34.3,33.3,35.3,"3,272","1,199,635"
No,Age-Sex Group,Male: Aged 55 to 64,65.4,64.4,66.3,65.6,64.6,66.6,"6,079","2,271,243"
Do not know,Age-Sex Group,Male: Aged 55 to 64,0.1,0,0.1,0.1,0,0.1,6,"2,030"
Prefer not to say,Age-Sex Group,Male: Aged 55 to 64,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Male: Aged 65 to 74,39,38.2,39.9,39.1,38.2,39.9,"5,113","1,408,175"
No,Age-Sex Group,Male: Aged 65 to 74,60.8,60,61.7,60.8,60,61.7,"7,988","2,194,076"
Do not know,Age-Sex Group,Male: Aged 65 to 74,0.1,0,0.1,0.1,0,0.1,9,"2,775"
Prefer not to say,Age-Sex Group,Male: Aged 65 to 74,[low],0,0.1,[low],0,0.1,5,"1,221"
Yes,Age-Sex Group,Male: Aged 75 to 84,43.1,41.9,44.2,43.3,42.2,44.4,"3,156","698,431"
No,Age-Sex Group,Male: Aged 75 to 84,56.8,55.7,58,56.6,55.5,57.7,"4,231","922,129"
Do not know,Age-Sex Group,Male: Aged 75 to 84,0.1,0,0.1,0.1,0,0.1,4,"1,145"
Prefer not to say,Age-Sex Group,Male: Aged 75 to 84,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Age-Sex Group,Male: Aged 85 and over,44.7,41,48.4,44.7,41,48.4,313,"57,741"
No,Age-Sex Group,Male: Aged 85 and over,55,51.3,58.7,55,51.3,58.7,380,"71,021"
Do not know,Age-Sex Group,Male: Aged 85 and over,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Age-Sex Group,Male: Aged 85 and over,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Ethnic Group [note 3],Asian or Asian British,37.4,34.9,39.8,38.3,35.8,40.7,624,"708,729"
No,Ethnic Group [note 3],Asian or Asian British,62.5,60,64.9,61.5,59.1,64,893,"1,184,843"
Do not know,Ethnic Group [note 3],Asian or Asian British,0.1,0,0.3,0.1,0,0.3,3,"1,961"
Prefer not to say,Ethnic Group [note 3],Asian or Asian British,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Ethnic Group [note 3],"Black, African, Caribbean or Black British",45,40.2,49.8,44,39.1,48.8,193,"164,664"
No,Ethnic Group [note 3],"Black, African, Caribbean or Black British",54.4,49.6,59.3,55.6,50.8,60.4,214,"199,137"
Do not know,Ethnic Group [note 3],"Black, African, Caribbean or Black British",[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Ethnic Group [note 3],"Black, African, Caribbean or Black British",[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Ethnic Group [note 3],Mixed or Multiple ethnic groups,30.5,27.2,33.9,40.7,37.1,44.2,309,"381,474"
No,Ethnic Group [note 3],Mixed or Multiple ethnic groups,69.4,66,72.7,59.2,55.6,62.8,422,"866,655"
Do not know,Ethnic Group [note 3],Mixed or Multiple ethnic groups,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Ethnic Group [note 3],Mixed or Multiple ethnic groups,[w],[w],[w],[w],[w],[w],[w],[w]
Yes,Ethnic Group [note 3],White,38.9,38.6,39.2,39.1,38.8,39.5,"35,422","16,067,511"
No,Ethnic Group [note 3],White,61,60.6,61.3,60.7,60.4,61,"49,348","25,191,483"
Do not know,Ethnic Group [note 3],White,0.1,0.1,0.2,0.1,0.1,0.2,57,"52,364"
Prefer not to say,Ethnic Group [note 3],White,[low],0,[low],[low],0,[low],27,"12,124"
Yes,Ethnic Group [note 3],Other Ethnic Group,35.2,31.4,39.1,37.3,33.4,41.2,248,"178,330"
No,Ethnic Group [note 3],Other Ethnic Group,64.5,60.7,68.4,62.4,58.5,66.3,344,"326,620"
Do not know,Ethnic Group [note 3],Other Ethnic Group,[c],[c],[c],[c],[c],[c],[c],[c]
Prefer not to say,Ethnic Group [note 3],Other Ethnic Group,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Disability Status [note 4],Disabled,56.9,56.1,57.7,57.7,57,58.5,"8,981","4,104,668"
No,Disability Status [note 4],Disabled,42.7,41.9,43.5,41.8,41,42.5,"6,504","3,079,249"
Do not know,Disability Status [note 4],Disabled,0.4,0.3,0.5,0.5,0.4,0.6,26,"25,863"
Prefer not to say,Disability Status [note 4],Disabled,[low],0,0.1,[low],0,0.1,6,"2,167"
Yes,Disability Status [note 4],Non-disabled,35,34.6,35.3,35.4,35.1,35.7,"28,023","13,471,320"
No,Disability Status [note 4],Non-disabled,64.9,64.6,65.3,64.5,64.2,64.9,"45,196","25,015,630"
Do not know,Disability Status [note 4],Non-disabled,0.1,0.1,0.1,0.1,0,0.1,35,"26,712"
Prefer not to say,Disability Status [note 4],Non-disabled,[low],0,[low],[low],0,[low],19,"7,270"
Yes,Disability Status [note 4],Disability status not disclosed,46.4,42.4,50.4,48.9,44.8,52.9,318,"190,050"
No,Disability Status [note 4],Disability status not disclosed,50.9,46.9,54.9,49.3,45.3,53.3,270,"208,422"
Do not know,Disability Status [note 4],Disability status not disclosed,1.6,0.6,2.5,1.1,0.3,1.9,3,"6,352"
Prefer not to say,Disability Status [note 4],Disability status not disclosed,1.2,0.3,2,0.7,0.1,1.4,7,"4,736"
Yes,Disability Severity [note 4],Disabled - Limited a little,55.6,54.6,56.5,56.3,55.4,57.2,"6,251","2,847,501"
No,Disability Severity [note 4],Disabled - Limited a little,44.1,43.2,45,43.3,42.4,44.2,"4,896","2,261,862"
Do not know,Disability Severity [note 4],Disabled - Limited a little,0.3,0.2,0.4,0.4,0.3,0.5,11,"16,040"
Prefer not to say,Disability Severity [note 4],Disabled - Limited a little,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Disability Severity [note 4],Disabled - Limited a lot,60.3,58.8,61.7,61,59.5,62.4,"2,730","1,257,167"
No,Disability Severity [note 4],Disabled - Limited a lot,39.2,37.7,40.6,38.3,36.9,39.8,"1,608","817,387"
Do not know,Disability Severity [note 4],Disabled - Limited a lot,0.5,0.3,0.7,0.6,0.4,0.9,15,"9,823"
Prefer not to say,Disability Severity [note 4],Disabled - Limited a lot,0.1,0,0.2,0.1,0,0.2,4,"1,611"
Yes,Disability Severity [note 4],Non-disabled - No Health Condition,33.1,32.7,33.5,33.8,33.4,34.2,"22,040","10,939,089"
No,Disability Severity [note 4],Non-disabled - No Health Condition,66.8,66.4,67.2,66.2,65.8,66.5,"38,225","22,087,941"
Do not know,Disability Severity [note 4],Non-disabled - No Health Condition,0.1,0,0.1,0.1,0,0.1,26,"21,521"
Prefer not to say,Disability Severity [note 4],Non-disabled - No Health Condition,[low],0,[low],[low],0,[low],18,"6,930"
Yes,Disability Severity [note 4],Non-disabled - Non-limiting health condition,46.3,45.5,47.2,46.3,45.5,47.2,"5,983","2,532,231"
No,Disability Severity [note 4],Non-disabled - Non-limiting health condition,53.6,52.7,54.4,53.6,52.7,54.4,"6,971","2,927,690"
Do not know,Disability Severity [note 4],Non-disabled - Non-limiting health condition,0.1,0,0.1,0.1,0,0.1,9,"5,191"
Prefer not to say,Disability Severity [note 4],Non-disabled - Non-limiting health condition,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Disability Severity [note 4],Disability status not disclosed,46.4,42.4,50.4,48.9,44.8,52.9,318,"190,050"
No,Disability Severity [note 4],Disability status not disclosed,50.9,46.9,54.9,49.3,45.3,53.3,270,"208,422"
Do not know,Disability Severity [note 4],Disability status not disclosed,1.6,0.6,2.5,1.1,0.3,1.9,3,"6,352"
Prefer not to say,Disability Severity [note 4],Disability status not disclosed,1.2,0.3,2,0.7,0.1,1.4,7,"4,736"
Yes,Indices of Multiple Deprivation [note 5],1st decile most deprived,44.8,42.9,46.8,43.5,41.6,45.5,"1,178","681,969"
No,Indices of Multiple Deprivation [note 5],1st decile most deprived,54.9,52.9,56.8,56.2,54.3,58.2,"1,293","834,727"
Do not know,Indices of Multiple Deprivation [note 5],1st decile most deprived,0.3,0.1,0.5,0.2,0,0.4,6,"3,845"
Prefer not to say,Indices of Multiple Deprivation [note 5],1st decile most deprived,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Indices of Multiple Deprivation [note 5],2nd decile,42.1,40.6,43.7,41,39.4,42.5,"1,663","980,397"
No,Indices of Multiple Deprivation [note 5],2nd decile,57.8,56.2,59.4,59,57.4,60.6,"2,100","1,345,223"
Do not know,Indices of Multiple Deprivation [note 5],2nd decile,[w],[w],[w],[w],[w],[w],[w],[w]
Prefer not to say,Indices of Multiple Deprivation [note 5],2nd decile,[low],0,0.1,[low],0,0.1,3,714
Yes,Indices of Multiple Deprivation [note 5],3nd decile,37.5,36.2,38.8,39.4,38.1,40.7,"2,317","1,170,380"
No,Indices of Multiple Deprivation [note 5],3nd decile,62.4,61.1,63.7,60.5,59.1,61.8,"3,031","1,948,146"
Do not know,Indices of Multiple Deprivation [note 5],3nd decile,0.1,0,0.1,0.1,0,0.1,4,"1,975"
Prefer not to say,Indices of Multiple Deprivation [note 5],3nd decile,[low],0,0.1,[low],0,0.1,3,"1,464"
Yes,Indices of Multiple Deprivation [note 5],4th decile,40.4,39.2,41.5,40.5,39.3,41.6,"3,057","1,548,913"
No,Indices of Multiple Deprivation [note 5],4th decile,59.4,58.3,60.6,59.4,58.2,60.5,"4,064","2,280,121"
Do not know,Indices of Multiple Deprivation [note 5],4th decile,0.1,0,0.2,0.1,0,0.2,5,"3,209"
Prefer not to say,Indices of Multiple Deprivation [note 5],4th decile,0.1,0.1,0.2,0.1,0,0.2,6,"5,326"
Yes,Indices of Multiple Deprivation [note 5],5th decile,38,37,39,39.3,38.3,40.3,"3,655","1,792,337"
No,Indices of Multiple Deprivation [note 5],5th decile,61.8,60.8,62.8,60.3,59.3,61.3,"5,094","2,917,867"
Do not know,Indices of Multiple Deprivation [note 5],5th decile,0.1,0.1,0.2,0.3,0.2,0.4,5,"6,961"
Prefer not to say,Indices of Multiple Deprivation [note 5],5th decile,0.1,0,0.1,0.1,0,0.1,5,"2,687"
Yes,Indices of Multiple Deprivation [note 5],6th decile,38.4,37.5,39.4,38,37.1,38.9,"4,339","2,008,785"
No,Indices of Multiple Deprivation [note 5],6th decile,61.5,60.6,62.5,61.9,61,62.9,"5,883","3,216,528"
Do not know,Indices of Multiple Deprivation [note 5],6th decile,0.1,0,0.1,0.1,0,0.1,6,"2,801"
Prefer not to say,Indices of Multiple Deprivation [note 5],6th decile,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Indices of Multiple Deprivation [note 5],7th decile,38,37.2,38.9,38.6,37.7,39.5,"4,690","2,102,985"
No,Indices of Multiple Deprivation [note 5],7th decile,61.8,60.9,62.7,61.3,60.4,62.2,"6,665","3,414,228"
Do not know,Indices of Multiple Deprivation [note 5],7th decile,0.2,0.1,0.3,0.1,0.1,0.2,9,"10,241"
Prefer not to say,Indices of Multiple Deprivation [note 5],7th decile,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Indices of Multiple Deprivation [note 5],8th decile,39.8,38.9,40.6,40.3,39.4,41.1,"5,108","2,409,183"
No,Indices of Multiple Deprivation [note 5],8th decile,60,59.1,60.9,59.5,58.6,60.4,"7,224","3,634,585"
Do not know,Indices of Multiple Deprivation [note 5],8th decile,0.2,0.1,0.3,0.2,0.1,0.3,10,"12,657"
Prefer not to say,Indices of Multiple Deprivation [note 5],8th decile,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Indices of Multiple Deprivation [note 5],9th decile,36.3,35.4,37.1,36.1,35.3,37,"5,312","2,390,114"
No,Indices of Multiple Deprivation [note 5],9th decile,63.7,62.8,64.5,63.8,63,64.6,"7,693","4,194,253"
Do not know,Indices of Multiple Deprivation [note 5],9th decile,0.1,0,0.1,0.1,0,0.1,9,"3,766"
Prefer not to say,Indices of Multiple Deprivation [note 5],9th decile,[low],0,[low],[low],0,[low],4,"1,120"
Yes,Indices of Multiple Deprivation [note 5],10th decile least deprived,37.2,36.4,37.9,38.6,37.8,39.4,"6,003","2,680,974"
No,Indices of Multiple Deprivation [note 5],10th decile least deprived,62.6,61.9,63.4,61.3,60.5,62,"8,923","4,517,623"
Do not know,Indices of Multiple Deprivation [note 5],10th decile least deprived,0.2,0.1,0.3,0.1,0.1,0.2,10,"13,473"
Prefer not to say,Indices of Multiple Deprivation [note 5],10th decile least deprived,[low],0,[low],[low],0,[low],5,"1,603"
Yes,Region,North East,36.4,34.9,37.9,36.5,35,38,"1,720","789,745"
No,Region,North East,63.1,61.6,64.6,62.8,61.4,64.3,"2,382","1,368,059"
Do not know,Region,North East,0.3,0.1,0.5,0.5,0.3,0.7,7,"6,384"
Prefer not to say,Region,North East,0.2,0.1,0.4,0.2,0,0.3,5,"4,621"
Yes,Region,North West,37.6,36.7,38.5,38.2,37.3,39.1,"4,607","2,296,800"
No,Region,North West,62.2,61.3,63.1,61.6,60.7,62.5,"6,456","3,802,316"
Do not know,Region,North West,0.2,0.1,0.3,0.2,0.1,0.3,8,"13,311"
Prefer not to say,Region,North West,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Region,Yorkshire and The Humber,40.1,39,41.1,41,40,42.1,"3,738","1,791,959"
No,Region,Yorkshire and The Humber,59.9,58.9,60.9,58.9,57.9,60,"4,883","2,680,126"
Do not know,Region,Yorkshire and The Humber,[low],0,0.1,[low],0,0.1,4,"1,266"
Prefer not to say,Region,Yorkshire and The Humber,[low],0,[low],[low],0,[low],3,781
Yes,Region,East Midlands,41.6,40.5,42.8,42.8,41.7,44,"3,054","1,690,045"
No,Region,East Midlands,58.3,57.2,59.4,57.1,56,58.2,"4,216","2,366,047"
Do not know,Region,East Midlands,0.1,0,0.1,0.1,0,0.1,5,"3,166"
Prefer not to say,Region,East Midlands,[c],[c],[c],[c],[c],[c],[c],[c]
Yes,Region,West Midlands,42.6,41.5,43.7,42.1,41,43.2,"3,389","2,043,093"
No,Region,West Midlands,57,55.9,58.1,57.6,56.5,58.7,"4,302","2,736,508"
Do not know,Region,West Midlands,0.3,0.2,0.5,0.3,0.2,0.4,8,"16,459"
Prefer not to say,Region,West Midlands,[low],0,0.1,[low],0,0.1,6,"2,309"
Yes,Region,East of England,37.2,36.3,38.1,37.7,36.8,38.6,"4,677","1,897,600"
No,Region,East of England,62.6,61.7,63.5,62.1,61.3,63,"6,520","3,191,679"
Do not know,Region,East of England,0.1,0,0.1,0.1,0,0.2,10,"4,504"
Prefer not to say,Region,East of England,[low],0,0.1,[low],0,0.1,3,"1,632"
Yes,Region,London,37.5,36.7,38.3,38.2,37.4,39,"5,685","2,597,244"
No,Region,London,62.4,61.6,63.2,61.7,60.9,62.5,"8,015","4,327,539"
Do not know,Region,London,0.1,0,0.1,0.1,0,0.1,10,"4,900"
Prefer not to say,Region,London,[low],0,0.1,[low],0,0.1,6,"1,962"
Yes,Region,South East,36.8,36.1,37.6,37.5,36.7,38.3,"6,166","2,788,306"
No,Region,South East,63.1,62.3,63.8,62.2,61.5,63,"9,056","4,774,189"
Do not know,Region,South East,0.1,0.1,0.2,0.2,0.2,0.3,7,"7,705"
Prefer not to say,Region,South East,[low],0,[low],[low],0,[low],4,"1,697"
Yes,Region,South West,38,37,38.9,37.8,36.9,38.8,"4,286","1,871,245"
No,Region,South West,62,61.1,62.9,62.1,61.2,63.1,"6,140","3,056,839"
Do not know,Region,South West,[low],0,0.1,[low],0,[low],5,"1,232"
Prefer not to say,Region,South West,[low],0,[low],[low],0,[low],3,746
